Plot Title: 19#,,,,,,
#,"Date Time, GMT+08:00","Water Content, m?/m? (20)","Water Content, m?/m? (40)","Water Content, m?/m? (60)","Water Content, m?/m? (80)","Water Content, m?/m? (100)"
57,04/21/13 01时50分34秒,0.2937,0.1514,0.1274,0.1586,0.1165
58,04/21/13 02时00分34秒,0.293,0.1514,0.1267,0.1586,0.1165
59,04/21/13 02时10分34秒,0.2937,0.1521,0.1267,0.1586,0.1165
60,04/21/13 02时20分34秒,0.293,0.1514,0.1267,0.1586,0.1165
61,04/21/13 02时30分34秒,0.2915,0.1521,0.1274,0.1586,0.1165
62,04/21/13 02时40分34秒,0.2923,0.1514,0.1274,0.1586,0.1165
63,04/21/13 02时50分34秒,0.2915,0.1514,0.1274,0.1586,0.1165
64,04/21/13 03时00分34秒,0.2915,0.1514,0.1274,0.1586,0.1165
65,04/21/13 03时10分34秒,0.2915,0.1514,0.1267,0.1586,0.1165
66,04/21/13 03时20分34秒,0.2901,0.1521,0.1274,0.1586,0.1165
67,04/21/13 03时30分34秒,0.2901,0.1514,0.1274,0.1586,0.1165
68,04/21/13 03时40分34秒,0.2901,0.1521,0.1274,0.1586,0.1165
69,04/21/13 03时50分34秒,0.2901,0.1514,0.1274,0.1586,0.1165
70,04/21/13 04时00分34秒,0.2886,0.1514,0.1274,0.1586,0.1165
71,04/21/13 04时10分34秒,0.2894,0.1514,0.1274,0.1586,0.1165
72,04/21/13 04时20分34秒,0.2901,0.1514,0.1274,0.1586,0.1158
73,04/21/13 04时30分34秒,0.2894,0.1521,0.1274,0.1586,0.1165
74,04/21/13 04时40分34秒,0.2894,0.1514,0.1274,0.1586,0.1165
75,04/21/13 04时50分34秒,0.2886,0.1514,0.1274,0.1586,0.1165
76,04/21/13 05时00分34秒,0.2886,0.1514,0.1274,0.1579,0.1165
77,04/21/13 05时10分34秒,0.2879,0.1514,0.1274,0.1586,0.1165
78,04/21/13 05时20分34秒,0.2879,0.1514,0.1274,0.1586,0.1165
79,04/21/13 05时30分34秒,0.2879,0.1521,0.1274,0.1586,0.1165
80,04/21/13 05时40分34秒,0.2879,0.1521,0.1274,0.1579,0.1165
81,04/21/13 05时50分34秒,0.2879,0.1514,0.1274,0.1586,0.1165
82,04/21/13 06时00分34秒,0.2872,0.1514,0.1274,0.1579,0.1165
83,04/21/13 06时10分34秒,0.2872,0.1521,0.1274,0.1579,0.1165
84,04/21/13 06时20分34秒,0.2872,0.1521,0.1274,0.1586,0.1165
85,04/21/13 06时30分34秒,0.2865,0.1514,0.1274,0.1586,0.1165
86,04/21/13 06时40分34秒,0.2872,0.1514,0.1274,0.1586,0.1165
87,04/21/13 06时50分34秒,0.2865,0.1514,0.1274,0.1586,0.1165
88,04/21/13 07时00分34秒,0.2865,0.1514,0.1267,0.1586,0.1165
89,04/21/13 07时10分34秒,0.2865,0.1521,0.1274,0.1586,0.1165
90,04/21/13 07时20分34秒,0.2865,0.1514,0.1274,0.1586,0.1165
91,04/21/13 07时30分34秒,0.2865,0.1514,0.1274,0.1586,0.1165
92,04/21/13 07时40分34秒,0.2879,0.1521,0.1274,0.1586,0.1165
93,04/21/13 07时50分34秒,0.2894,0.1514,0.1274,0.1586,0.1165
94,04/21/13 08时00分34秒,0.2901,0.1521,0.1274,0.1586,0.1165
95,04/21/13 08时10分34秒,0.2944,0.1514,0.1274,0.1586,0.1165
96,04/21/13 08时20分34秒,0.2937,0.1514,0.1274,0.1586,0.1165
97,04/21/13 08时30分34秒,0.2966,0.1514,0.1274,0.1586,0.1165
98,04/21/13 08时40分34秒,0.2988,0.1521,0.1274,0.1586,0.1165
99,04/21/13 08时50分34秒,0.2995,0.1514,0.1274,0.1586,0.1165
100,04/21/13 09时00分34秒,0.3032,0.1514,0.1274,0.1586,0.1165
101,04/21/13 09时10分34秒,0.3068,0.1514,0.1274,0.1586,0.1165
102,04/21/13 09时20分34秒,0.3097,0.1521,0.1274,0.1594,0.1165
103,04/21/13 09时30分34秒,0.3126,0.1514,0.1274,0.1586,0.1165
104,04/21/13 09时40分34秒,0.317,0.1514,0.1274,0.1586,0.1165
105,04/21/13 09时50分34秒,0.3199,0.1514,0.1267,0.1586,0.1165
106,04/21/13 10时00分34秒,0.322,0.1514,0.1274,0.1586,0.1165
107,04/21/13 10时10分34秒,0.3257,0.1514,0.1267,0.1586,0.1165
108,04/21/13 10时20分34秒,0.3286,0.1514,0.1267,0.1586,0.1165
109,04/21/13 10时30分34秒,0.3315,0.1514,0.1267,0.1586,0.1165
110,04/21/13 10时40分34秒,0.3337,0.1514,0.1274,0.1586,0.1165
111,04/21/13 10时50分34秒,0.3366,0.1514,0.1267,0.1586,0.1165
112,04/21/13 11时00分34秒,0.338,0.1521,0.1274,0.1586,0.1165
113,04/21/13 11时10分34秒,0.3409,0.1521,0.1274,0.1586,0.1165
114,04/21/13 11时20分34秒,0.3417,0.1514,0.1274,0.1586,0.1165
115,04/21/13 11时30分34秒,0.3438,0.1514,0.1274,0.1586,0.1165
116,04/21/13 11时40分34秒,0.3453,0.1514,0.1274,0.1586,0.1165
117,04/21/13 11时50分34秒,0.3475,0.1514,0.1267,0.1586,0.1165
118,04/21/13 12时00分34秒,0.3489,0.1514,0.1274,0.1586,0.1165
119,04/21/13 12时10分34秒,0.3518,0.1514,0.1267,0.1586,0.1165
120,04/21/13 12时20分34秒,0.3526,0.1514,0.1274,0.1586,0.1165
121,04/21/13 12时30分34秒,0.354,0.1514,0.1274,0.1586,0.1165
122,04/21/13 12时40分34秒,0.3555,0.1514,0.1274,0.1586,0.1165
123,04/21/13 12时50分34秒,0.3555,0.1514,0.1274,0.1586,0.1165
124,04/21/13 13时00分34秒,0.3562,0.1514,0.1274,0.1586,0.1165
125,04/21/13 13时10分34秒,0.3562,0.1521,0.1274,0.1586,0.1165
126,04/21/13 13时20分34秒,0.3569,0.1514,0.1274,0.1586,0.1165
127,04/21/13 13时30分34秒,0.3576,0.1514,0.1274,0.1586,0.1165
128,04/21/13 13时40分34秒,0.3584,0.1514,0.1274,0.1586,0.1165
129,04/21/13 13时50分34秒,0.3591,0.1514,0.1274,0.1586,0.1165
130,04/21/13 14时00分34秒,0.3591,0.1521,0.1274,0.1586,0.1165
131,04/21/13 14时10分34秒,0.3591,0.1514,0.1274,0.1586,0.1165
132,04/21/13 14时20分34秒,0.3598,0.1521,0.1274,0.1586,0.1165
133,04/21/13 14时30分34秒,0.3598,0.1514,0.1274,0.1586,0.1165
134,04/21/13 14时40分34秒,0.3591,0.1514,0.1274,0.1586,0.1165
135,04/21/13 14时50分34秒,0.3598,0.1514,0.1274,0.1586,0.1165
136,04/21/13 15时00分34秒,0.3591,0.1514,0.1267,0.1586,0.1165
137,04/21/13 15时10分34秒,0.3591,0.1521,0.1267,0.1586,0.1165
138,04/21/13 15时20分34秒,0.3576,0.1514,0.1267,0.1586,0.1165
139,04/21/13 15时30分34秒,0.3562,0.1514,0.1267,0.1586,0.1165
140,04/21/13 15时40分34秒,0.3547,0.1514,0.1267,0.1586,0.1165
141,04/21/13 15时50分34秒,0.3533,0.1514,0.1267,0.1586,0.1165
142,04/21/13 16时00分34秒,0.3511,0.1514,0.1267,0.1586,0.1165
143,04/21/13 16时10分34秒,0.3526,0.1514,0.1274,0.1594,0.1165
144,04/21/13 16时20分34秒,0.3482,0.1514,0.1267,0.1586,0.1165
145,04/21/13 16时30分34秒,0.346,0.1514,0.1267,0.1586,0.1165
146,04/21/13 16时40分34秒,0.3438,0.1514,0.1274,0.1586,0.1165
147,04/21/13 16时50分34秒,0.3417,0.1514,0.1267,0.1586,0.1165
148,04/21/13 17时00分34秒,0.3402,0.1514,0.1274,0.1586,0.1165
149,04/21/13 17时10分34秒,0.3402,0.1514,0.1267,0.1586,0.1165
150,04/21/13 17时20分34秒,0.3373,0.1514,0.1267,0.1586,0.1165
151,04/21/13 17时30分34秒,0.3344,0.1514,0.1267,0.1586,0.1165
152,04/21/13 17时40分34秒,0.3322,0.1514,0.1274,0.1586,0.1165
153,04/21/13 17时50分34秒,0.33,0.1514,0.1274,0.1586,0.1165
154,04/21/13 18时00分34秒,0.3279,0.1514,0.1274,0.1586,0.1165
155,04/21/13 18时10分34秒,0.3264,0.1514,0.1274,0.1586,0.1165
156,04/21/13 18时20分34秒,0.325,0.1514,0.1274,0.1586,0.1165
157,04/21/13 18时30分34秒,0.3242,0.1514,0.1274,0.1586,0.1165
158,04/21/13 18时40分34秒,0.3228,0.1514,0.1274,0.1586,0.1165
159,04/21/13 18时50分34秒,0.322,0.1514,0.1274,0.1586,0.1172
160,04/21/13 19时00分34秒,0.3213,0.1514,0.1274,0.1586,0.1165
161,04/21/13 19时10分34秒,0.3206,0.1514,0.1274,0.1586,0.1172
162,04/21/13 19时20分34秒,0.3213,0.1514,0.1274,0.1586,0.1165
163,04/21/13 19时30分34秒,0.3184,0.1514,0.1274,0.1586,0.1165
164,04/21/13 19时40分34秒,0.3177,0.1514,0.1274,0.1586,0.1165
165,04/21/13 19时50分34秒,0.317,0.1514,0.1274,0.1586,0.1165
166,04/21/13 20时00分34秒,0.3162,0.1514,0.1274,0.1586,0.1165
167,04/21/13 20时10分34秒,0.3242,0.1514,0.1274,0.1586,0.1165
168,04/21/13 20时20分34秒,0.3155,0.1514,0.1274,0.1586,0.1165
169,04/21/13 20时30分34秒,0.3148,0.1514,0.1274,0.1586,0.1165
170,04/21/13 20时40分34秒,0.3141,0.1514,0.1274,0.1586,0.1165
171,04/21/13 20时50分34秒,0.3141,0.1514,0.1274,0.1586,0.1165
172,04/21/13 21时00分34秒,0.3126,0.1514,0.1274,0.1586,0.1165
173,04/21/13 21时10分34秒,0.3126,0.1514,0.1267,0.1586,0.1165
174,04/21/13 21时20分34秒,0.3141,0.1514,0.1274,0.1586,0.1165
175,04/21/13 21时30分34秒,0.3126,0.1514,0.1274,0.1586,0.1165
176,04/21/13 21时40分34秒,0.3126,0.1514,0.1274,0.1586,0.1165
177,04/21/13 21时50分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
178,04/21/13 22时00分34秒,0.3112,0.1514,0.1274,0.1586,0.1165
179,04/21/13 22时10分34秒,0.3112,0.1514,0.1274,0.1586,0.1165
180,04/21/13 22时20分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
181,04/21/13 22时30分34秒,0.3104,0.1514,0.1274,0.1586,0.1165
182,04/21/13 22时40分34秒,0.3104,0.1514,0.1274,0.1586,0.1165
183,04/21/13 22时50分34秒,0.3133,0.1514,0.1274,0.1586,0.1165
184,04/21/13 23时00分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
185,04/21/13 23时10分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
186,04/21/13 23时20分34秒,0.3112,0.1514,0.1267,0.1586,0.1165
187,04/21/13 23时30分34秒,0.3112,0.1514,0.1274,0.1586,0.1172
188,04/21/13 23时40分34秒,0.3112,0.1514,0.1274,0.1586,0.1165
189,04/21/13 23时50分34秒,0.3104,0.1514,0.1274,0.1586,0.1165
190,04/22/13 00时00分34秒,0.3104,0.1514,0.1274,0.1594,0.1165
191,04/22/13 00时10分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
192,04/22/13 00时20分34秒,0.3097,0.1514,0.1274,0.1586,0.1165
193,04/22/13 00时30分34秒,0.3112,0.1514,0.1274,0.1594,0.1165
194,04/22/13 00时40分34秒,0.3104,0.1521,0.1274,0.1586,0.1165
195,04/22/13 00时50分34秒,0.3104,0.1514,0.1274,0.1586,0.1172
196,04/22/13 01时00分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
197,04/22/13 01时10分34秒,0.3162,0.1514,0.1274,0.1586,0.1172
198,04/22/13 01时20分34秒,0.3112,0.1514,0.1274,0.1586,0.1165
199,04/22/13 01时30分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
200,04/22/13 01时40分34秒,0.3097,0.1521,0.1274,0.1586,0.1165
201,04/22/13 01时50分34秒,0.309,0.1514,0.1274,0.1586,0.1172
202,04/22/13 02时00分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
203,04/22/13 02时10分34秒,0.309,0.1514,0.1274,0.1586,0.1172
204,04/22/13 02时20分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
205,04/22/13 02时30分34秒,0.3082,0.1514,0.1274,0.1586,0.1165
206,04/22/13 02时40分34秒,0.3082,0.1514,0.1274,0.1586,0.1165
207,04/22/13 02时50分34秒,0.3082,0.1514,0.1274,0.1586,0.1165
208,04/22/13 03时00分34秒,0.3082,0.1514,0.1274,0.1586,0.1165
209,04/22/13 03时10分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
210,04/22/13 03时20分34秒,0.3082,0.1514,0.1274,0.1586,0.1165
211,04/22/13 03时30分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
212,04/22/13 03时40分34秒,0.3075,0.1521,0.1274,0.1586,0.1172
213,04/22/13 03时50分34秒,0.3068,0.1514,0.1274,0.1586,0.1172
214,04/22/13 04时00分34秒,0.3068,0.1514,0.1274,0.1586,0.1172
215,04/22/13 04时10分34秒,0.3075,0.1514,0.1274,0.1586,0.1165
216,04/22/13 04时20分34秒,0.3075,0.1514,0.1274,0.1586,0.1165
217,04/22/13 04时30分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
218,04/22/13 04时40分34秒,0.3082,0.1521,0.1274,0.1586,0.1172
219,04/22/13 04时50分34秒,0.3082,0.1514,0.1274,0.1586,0.1165
220,04/22/13 05时00分34秒,0.3097,0.1514,0.1274,0.1586,0.1165
221,04/22/13 05时10分34秒,0.309,0.1514,0.1274,0.1586,0.1172
222,04/22/13 05时20分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
223,04/22/13 05时30分34秒,0.3082,0.1521,0.1274,0.1586,0.1172
224,04/22/13 05时40分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
225,04/22/13 05时50分34秒,0.3082,0.1514,0.1274,0.1586,0.1172
226,04/22/13 06时00分34秒,0.309,0.1514,0.1274,0.1586,0.1172
227,04/22/13 06时10分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
228,04/22/13 06时20分34秒,0.3104,0.1521,0.1274,0.1586,0.1172
229,04/22/13 06时30分34秒,0.3112,0.1514,0.1274,0.1586,0.1172
230,04/22/13 06时40分34秒,0.3104,0.1514,0.1274,0.1586,0.1165
231,04/22/13 06时50分34秒,0.3104,0.1514,0.1274,0.1586,0.1172
232,04/22/13 07时00分34秒,0.309,0.1514,0.1274,0.1586,0.1172
233,04/22/13 07时10分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
234,04/22/13 07时20分34秒,0.3104,0.1514,0.1274,0.1586,0.1172
235,04/22/13 07时30分34秒,0.317,0.1514,0.1274,0.1586,0.1172
236,04/22/13 07时40分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
237,04/22/13 07时50分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
238,04/22/13 08时00分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
239,04/22/13 08时10分34秒,0.3097,0.1514,0.1274,0.1586,0.1172
240,04/22/13 08时20分34秒,0.3104,0.1514,0.1274,0.1586,0.1172
241,04/22/13 08时30分34秒,0.3119,0.1514,0.1274,0.1586,0.1165
242,04/22/13 08时40分34秒,0.3126,0.1514,0.1274,0.1586,0.1165
243,04/22/13 08时50分34秒,0.3155,0.1521,0.1267,0.1586,0.1165
244,04/22/13 09时00分34秒,0.317,0.1521,0.1274,0.1586,0.1172
245,04/22/13 09时10分34秒,0.3191,0.1514,0.1274,0.1586,0.1172
246,04/22/13 09时20分34秒,0.3213,0.1514,0.1274,0.1586,0.1172
247,04/22/13 09时30分34秒,0.3242,0.1514,0.1274,0.1586,0.1165
248,04/22/13 09时40分34秒,0.3264,0.1514,0.1267,0.1586,0.1165
249,04/22/13 09时50分34秒,0.3286,0.1521,0.1274,0.1586,0.1165
250,04/22/13 10时00分34秒,0.33,0.1521,0.1267,0.1586,0.1165
251,04/22/13 10时10分34秒,0.33,0.1514,0.1267,0.1586,0.1165
252,04/22/13 10时20分34秒,0.3315,0.1514,0.1267,0.1586,0.1165
253,04/22/13 10时30分34秒,0.3351,0.1514,0.1267,0.1586,0.1172
254,04/22/13 10时40分34秒,0.3373,0.1514,0.1274,0.1586,0.1172
255,04/22/13 10时50分34秒,0.3409,0.1521,0.1267,0.1586,0.1172
256,04/22/13 11时00分34秒,0.3431,0.1521,0.1267,0.1586,0.1172
257,04/22/13 11时10分34秒,0.3446,0.1521,0.1267,0.1586,0.1172
258,04/22/13 11时20分34秒,0.346,0.1514,0.1267,0.1586,0.1172
259,04/22/13 11时30分34秒,0.3475,0.1521,0.1274,0.1586,0.1172
260,04/22/13 11时40分34秒,0.3496,0.1514,0.1274,0.1586,0.1172
261,04/22/13 11时50分34秒,0.3518,0.1521,0.1267,0.1586,0.1172
262,04/22/13 12时00分34秒,0.3547,0.1521,0.1267,0.1586,0.1172
263,04/22/13 12时10分34秒,0.3613,0.1521,0.1274,0.1586,0.1172
264,04/22/13 12时20分34秒,0.3627,0.1514,0.1267,0.1586,0.1165
265,04/22/13 12时30分34秒,0.3642,0.1514,0.1274,0.1586,0.1165
266,04/22/13 12时40分34秒,0.3649,0.1514,0.1274,0.1586,0.1165
267,04/22/13 12时50分34秒,0.3656,0.1514,0.1274,0.1586,0.1172
268,04/22/13 13时00分34秒,0.3649,0.1514,0.1274,0.1586,0.1165
269,04/22/13 13时10分34秒,0.3656,0.1514,0.1267,0.1586,0.1172
270,04/22/13 13时20分34秒,0.3649,0.1514,0.1267,0.1586,0.1172
271,04/22/13 13时30分34秒,0.3642,0.1514,0.1267,0.1586,0.1172
272,04/22/13 13时40分34秒,0.3649,0.1514,0.1267,0.1586,0.1172
273,04/22/13 13时50分34秒,0.3649,0.1514,0.1267,0.1586,0.1172
274,04/22/13 14时00分34秒,0.3635,0.1514,0.1267,0.1586,0.1172
275,04/22/13 14时10分34秒,0.3613,0.1514,0.1267,0.1579,0.1172
276,04/22/13 14时20分34秒,0.3627,0.1514,0.1267,0.1586,0.1165
277,04/22/13 14时30分34秒,0.3569,0.1514,0.1267,0.1586,0.1172
278,04/22/13 14时40分34秒,0.354,0.1514,0.1267,0.1586,0.1172
279,04/22/13 14时50分34秒,0.3526,0.1514,0.1267,0.1586,0.1172
280,04/22/13 15时00分34秒,0.3511,0.1514,0.1274,0.1586,0.1172
281,04/22/13 15时10分34秒,0.3511,0.1514,0.1267,0.1586,0.1172
282,04/22/13 15时20分34秒,0.3518,0.1514,0.1274,0.1586,0.1172
283,04/22/13 15时30分34秒,0.3526,0.1514,0.1274,0.1586,0.1172
284,04/22/13 15时40分34秒,0.354,0.1514,0.1267,0.1586,0.1172
285,04/22/13 15时50分34秒,0.3526,0.1514,0.1274,0.1586,0.1172
286,04/22/13 16时00分34秒,0.3518,0.1514,0.1267,0.1579,0.1172
287,04/22/13 16时10分34秒,0.3518,0.1514,0.1267,0.1586,0.1165
288,04/22/13 16时20分34秒,0.3504,0.1514,0.1267,0.1586,0.1172
289,04/22/13 16时30分34秒,0.3504,0.1514,0.1267,0.1586,0.1172
290,04/22/13 16时40分34秒,0.3511,0.1514,0.1267,0.1579,0.1165
291,04/22/13 16时50分34秒,0.3526,0.1514,0.1274,0.1579,0.1172
292,04/22/13 17时00分34秒,0.3511,0.1514,0.1274,0.1586,0.1165
293,04/22/13 17时10分34秒,0.3526,0.1514,0.1267,0.1586,0.1172
294,04/22/13 17时20分34秒,0.3511,0.1514,0.1267,0.1586,0.1172
295,04/22/13 17时30分34秒,0.3504,0.1514,0.1267,0.1586,0.1165
296,04/22/13 17时40分34秒,0.3496,0.1514,0.1267,0.1594,0.1172
297,04/22/13 17时50分34秒,0.3489,0.1514,0.1274,0.1586,0.1172
298,04/22/13 18时00分34秒,0.3482,0.1514,0.1274,0.1586,0.1172
299,04/22/13 18时10分34秒,0.346,0.1514,0.1267,0.1586,0.1172
300,04/22/13 18时20分34秒,0.346,0.1514,0.1274,0.1586,0.1172
301,04/22/13 18时30分34秒,0.3446,0.1514,0.1274,0.1586,0.1172
302,04/22/13 18时40分34秒,0.346,0.1514,0.1274,0.1586,0.1172
303,04/22/13 18时50分34秒,0.3446,0.1514,0.1267,0.1586,0.1172
304,04/22/13 19时00分34秒,0.3431,0.1514,0.1267,0.1586,0.1172
305,04/22/13 19时10分34秒,0.3424,0.1514,0.1267,0.1586,0.1172
306,04/22/13 19时20分34秒,0.3417,0.1514,0.1267,0.1586,0.1172
307,04/22/13 19时30分34秒,0.3417,0.1514,0.1267,0.1586,0.1172
308,04/22/13 19时40分34秒,0.3395,0.1514,0.1267,0.1586,0.1172
309,04/22/13 19时50分34秒,0.338,0.1514,0.1267,0.1586,0.1172
310,04/22/13 20时00分34秒,0.3366,0.1514,0.1274,0.1586,0.1165
311,04/22/13 20时10分34秒,0.3358,0.1514,0.1267,0.1586,0.1172
312,04/22/13 20时20分34秒,0.3358,0.1521,0.1267,0.1586,0.1172
313,04/22/13 20时30分34秒,0.3351,0.1514,0.1267,0.1586,0.1172
314,04/22/13 20时40分34秒,0.3344,0.1521,0.1274,0.1586,0.1172
315,04/22/13 20时50分34秒,0.3337,0.1514,0.1267,0.1586,0.1172
316,04/22/13 21时00分34秒,0.3329,0.1514,0.1274,0.1586,0.1172
317,04/22/13 21时10分34秒,0.3322,0.1514,0.1274,0.1586,0.1172
318,04/22/13 21时20分34秒,0.3308,0.1514,0.1274,0.1586,0.1172
319,04/22/13 21时30分34秒,0.33,0.1514,0.1274,0.1586,0.1172
320,04/22/13 21时40分34秒,0.33,0.1514,0.1274,0.1586,0.1172
321,04/22/13 21时50分34秒,0.3293,0.1521,0.1274,0.1586,0.1172
322,04/22/13 22时00分34秒,0.3286,0.1514,0.1274,0.1586,0.1172
323,04/22/13 22时10分34秒,0.3264,0.1514,0.1274,0.1586,0.1172
324,04/22/13 22时20分34秒,0.3257,0.1514,0.1274,0.1594,0.1172
325,04/22/13 22时30分34秒,0.325,0.1514,0.1274,0.1586,0.1172
326,04/22/13 22时40分34秒,0.3279,0.1514,0.1274,0.1586,0.1172
327,04/22/13 22时50分34秒,0.325,0.1514,0.1274,0.1586,0.1172
328,04/22/13 23时00分34秒,0.3228,0.1514,0.1274,0.1586,0.1172
329,04/22/13 23时10分34秒,0.3228,0.1514,0.1274,0.1586,0.1172
330,04/22/13 23时20分34秒,0.322,0.1514,0.1274,0.1586,0.1172
331,04/22/13 23时30分34秒,0.3235,0.1514,0.1274,0.1586,0.1172
332,04/22/13 23时40分34秒,0.325,0.1514,0.1274,0.1586,0.1172
333,04/22/13 23时50分34秒,0.322,0.1514,0.1274,0.1586,0.1172
334,04/23/13 00时00分34秒,0.3213,0.1514,0.1267,0.1586,0.1172
335,04/23/13 00时10分34秒,0.3213,0.1514,0.1274,0.1586,0.1172
336,04/23/13 00时20分34秒,0.322,0.1514,0.1267,0.1594,0.1172
337,04/23/13 00时30分34秒,0.322,0.1521,0.1274,0.1586,0.1172
