"","Amount","Duration","ID","Year","DateTime","雨强.mm.h.","model1$cluster","model2$cluster","model3$cluster"
"83",0.1,20,238,2017,"2017/7/28 7:39",0.3,4,1,1
"84",0.1,20,238,2017,"2017/7/28 7:39",0.3,4,1,1
"85",0.1,20,398,2017,"2017/8/23 5:14",0.3,4,1,1
"86",0.1,20,398,2017,"2017/8/23 5:14",0.3,4,1,1
"87",0.1,21,213,2017,"2017/7/27 23:57",0.29,4,1,1
"88",0.1,21,213,2017,"2017/7/27 23:57",0.29,4,1,1
"89",0.1,21,214,2017,"2017/7/28 0:18",0.29,4,1,1
"90",0.1,21,214,2017,"2017/7/28 0:18",0.29,4,1,1
"91",0.1,23,364,2017,"2017/8/20 12:27",0.26,4,1,3
"92",0.1,23,364,2017,"2017/8/20 12:27",0.26,4,1,3
"93",0.1,23,364,2017,"2017/8/20 12:27",0.26,4,1,3
"94",0.1,23,369,2017,"2017/8/20 13:33",0.26,4,1,3
"95",0.1,23,369,2017,"2017/8/20 13:33",0.26,4,1,3
"96",0.1,23,369,2017,"2017/8/20 13:33",0.26,4,1,3
"97",0.1,23,146,2017,"2017/6/3 17:55",0.26,4,1,3
"98",0.1,23,146,2017,"2017/6/3 17:55",0.26,4,1,3
"99",0.1,23,146,2017,"2017/6/3 17:55",0.26,4,1,3
"100",0.1,24,432,2017,"2017/8/28 3:45",0.25,4,1,3
"101",0.1,25,137,2017,"2017/6/3 13:1",0.24,4,1,3
"102",0.1,25,137,2017,"2017/6/3 13:1",0.24,4,1,3
"103",0.1,25,137,2017,"2017/6/3 13:1",0.24,4,1,3
"104",0.1,25,170,2017,"2017/6/4 13:5",0.24,4,1,3
"105",0.1,25,170,2017,"2017/6/4 13:5",0.24,4,1,3
"106",0.1,25,170,2017,"2017/6/4 13:5",0.24,4,1,3
"107",0.1,25,347,2017,"2017/8/20 8:21",0.24,4,1,3
"108",0.1,25,347,2017,"2017/8/20 8:21",0.24,4,1,3
"109",0.1,25,347,2017,"2017/8/20 8:21",0.24,4,1,3
"110",0.1,26,14,2017,"2017/5/3 14:36",0.23,4,1,3
"111",0.1,26,14,2017,"2017/5/3 14:36",0.23,4,1,3
"112",0.1,26,68,2017,"2017/5/23 0:39",0.23,4,1,3
"113",0.1,26,68,2017,"2017/5/23 0:39",0.23,4,1,3
"114",0.1,27,379,2017,"2017/8/22 20:16",0.22,4,1,3
"115",0.1,29,240,2017,"2017/7/28 10:33",0.21,4,1,3
"116",0.1,31,66,2017,"2017/5/22 22:10",0.19,4,1,3
"117",0.1,32,471,2017,"2017/8/28 21:2",0.19,4,1,3
"118",0.1,32,471,2017,"2017/8/28 21:2",0.19,4,1,3
"119",0.1,32,135,2017,"2017/5/23 13:55",0.19,4,1,3
"120",0.1,32,135,2017,"2017/5/23 13:55",0.19,4,1,3
"121",0.1,33,335,2017,"2017/8/20 1:56",0.18,4,1,3
"122",0.1,34,507,2017,"2017/8/29 11:14",0.18,4,1,3
"123",0.1,34,507,2017,"2017/8/29 11:14",0.18,4,1,3
"124",0.1,34,151,2017,"2017/6/3 22:2",0.18,4,1,3
"125",0.1,34,151,2017,"2017/6/3 22:2",0.18,4,1,3
"126",0.1,35,483,2017,"2017/8/29 0:45",0.17,4,1,3
"127",0.1,35,483,2017,"2017/8/29 0:45",0.17,4,1,3
"128",0.1,35,224,2017,"2017/7/28 2:50",0.17,4,1,3
"129",0.1,35,224,2017,"2017/7/28 2:50",0.17,4,1,3
"130",0.1,36,154,2017,"2017/6/3 23:35",0.17,4,1,3
"131",0.1,37,343,2017,"2017/8/20 6:35",0.16,4,1,3
"132",0.1,39,163,2017,"2017/6/4 10:35",0.15,4,1,3
